index,Column,translation,Question,year
230,Methodology,开发过程中使用了方法,Which of the following methodologies do you have experience working in?,2018
98,Methodology,开发过程中使用了方法,Which of the following methodologies do you have experience working in?,2017
108,MetricAssess,,"Congratulations! The bosses at your new employer, E Corp, are allowing you to choose which metrics will be used to assess your individual performance in your role as a senior developer. Which metrics do you suggest to the E bosses?",2017
280,MilitaryUS,服务于军方,Are you currently serving or have you ever served in the U.S. Military?,2018
16,MobileDeveloperType,移动开发类型,For which of the following platforms do you develop mobile applications?,2017
17,NonDeveloperType,作为非开发者的工作,Which of the following describe you?,2017
229,NumberMonitors,显示器数量,How many monitors are set up at your workstation?,2018
156,OpenSource,开源平台共享,Do you contribute to open source projects?,2018
228,OperatingSystem,主要操作系统,What is the primary operating system in which you work?,2018
102,OtherPeoplesCode,维护他人代码的态度—受折磨,Maintaining other people's code is a form of torture,2017
80,Overpaid,对自己在市场的评价,"Compared to your estimate of your own market value, do you think you are…?",2017
224,PlatformDesireNextYear,接下来的工作平台期待,"Which of the following platforms have you done extensive development work for over the past year?   (If you both developed for the platform and want to continue to do so, please check both boxes in that row.)",2018
223,PlatformWorkedWith,正在使用工作平台,"Which of the following platforms have you done extensive development work for over the past year?   (If you both developed for the platform and want to continue to do so, please check both boxes in that row.)",2018
29,ProblemSolving,解决问题态度,I love solving problems,2017
1,Professional,专业性描述,Which of the following best describes you?,2017
2,ProgramHobby,编程作为爱好,Do you program as a hobby or contribute to open source projects?,2017
103,ProjectManagement,对项目管理的作用态度,Most project management techniques are useless,2017
28,PronounceGIF,GIF 发音,"How do you pronounce ""GIF""?",2017
150,QuestionsConfusing,调查描述,The questions were confusing,2017
149,QuestionsInteresting,调查描述,The questions were interesting,2017
147,Race,人种描述,Which of the following do you identify as?,2017
277,RaceEthnicity,人种描述,"Which of the following do you identify as? Please check all that apply. If you prefer not to answer, you may leave this question blank.",2018
154,Respondent,对应的随机序列号,Randomized respondent ID number (not in order of survey response time),2018
0,Respondent,对应的随机序列号,Respondent ID number,2017
67,ResumePrompted,改简历的原因,"Think back to the last time you updated your resumé, CV, or an online profile on a job site. What prompted you to do so?",2017
37,RightWrongWay,描述性选项同意情况,There's a right and a wrong way to do everything,2017
206,Salary,薪资,"What is your current gross salary (before taxes and deductions), in ${q://QID50/ChoiceGroup/SelectedChoicesTextEntry}? Please enter a whole number in the box below, without any punctuation. If you are paid hourly, please estimate an equivalent weekly, monthly, or yearly salary. If you prefer not to answer, please leave the box empty.",2018
152,Salary,薪资,"What is your current annual base salary, before taxes, and excluding bonuses, grants, or other compensation?",2017
207,SalaryType,薪资类型,"Is that salary weekly, monthly, or yearly?",2018
84,SelfTaughtTypes,教授信息方式,"You indicated that you had taught yourself a programming technology without taking a course. What resources did you use to do that? If you've done it more than once, please think about the most recent time you've done so.",2017
213,SelfTaughtTypes,教授信息方式,"You indicated that you had taught yourself a programming technology without taking a course. What resources did you use to do that? If you’ve done it more than once, please think about the most recent time you’ve done so. Please select all that apply.",2018
39,SeriousWork,描述性选项同意情况,I take my work very seriously,2017
275,SexualOrientation,性状况,"Which of the following do you currently identify as? Please select all that apply. If you prefer not to answer, you may leave this question blank.",2018
101,ShipIt,代码优化执行时间态度性问题,It's better to ship now and optimize later,2017
271,SkipMeals,废寝忘食,"In a typical week, how many times do you skip a meal in order to be more productive?",2018
138,StackOverflowAdsDistracting,广告态度,The ads on Stack Overflow are distracting,2017
137,StackOverflowAdsRelevant,广告态度,The ads on Stack Overflow are relevant to me,2017
135,StackOverflowAnswer,最近三月的回复频繁度,"Over the last three months, approximately how often have you done each of the following on Stack Overflow? Written a new answer to someone else's question",2017
142,StackOverflowBetter,SO 对网络贡献,Stack Overflow makes the Internet a better place,2017
140,StackOverflowCommunity,SO 认同感,I feel like a member of the Stack Overflow community,2017
132,StackOverflowCompanyPage,访问公司页面研究潜在的雇主,"Over the last three months, approximately how often have you done each of the following on Stack Overflow? Researched a potential employer by visiting its company page",2017
262,StackOverflowConsiderMember,SO成员,Do you consider yourself a member of the Stack Overflow community?,2018
130,StackOverflowCopiedCode,复制代码,"Over the last three months, approximately how often have you done each of the following on Stack Overflow? Copied a code example and pasted it into my codebase",2017
126,StackOverflowDescribes,,Which of the following best describes you?,2017
260,StackOverflowDevStory,更新so开发人员故事,Do you have an up-to-date Developer Story on Stack Overflow?,2018
128,StackOverflowDevices,连接 SO 设备,Which of the following devices have you used to connect to Stack Overflow over the last three months?,2017
129,StackOverflowFoundAnswer,找到解决编码问题的答案,"Over the last three months, approximately how often have you done each of the following on Stack Overflow? Found an answer that solved my coding problem",2017
257,StackOverflowHasAccount,有无os账户,Do you have a Stack Overflow account?,2018
141,StackOverflowHelpful,SO对我代码帮助很大,The answers and code examples I get on Stack Overflow are helpful,2017
131,StackOverflowJobListing,看过我感兴趣的职位列表,"Over the last three months, approximately how often have you done each of the following on Stack Overflow? Seen a job listing I was interested in",2017
133,StackOverflowJobSearch,寻找工作,"Over the last three months, approximately how often have you done each of the following on Stack Overflow? Searched for jobs",2017
259,StackOverflowJobs,使用或访问SO jobs,Have you ever used or visited Stack Overflow Jobs?,2018
261,StackOverflowJobsRecommend,推荐SO,How likely is it that you would recommend Stack Overflow Jobs to a friend or colleague? Where 0 is not likely at all and 10 is very likely.,2018
144,StackOverflowMakeMoney,SO只为钱,The people who run Stack Overflow are just in it for the money,2017
136,StackOverflowMetaChat,参与SO的讨论,"Over the last three months, approximately how often have you done each of the following on Stack Overflow? Participated in community discussions on meta or in chat",2017
139,StackOverflowModeration,SO审核不公平,The moderation on Stack Overflow is unfair,2017
134,StackOverflowNewQuestion,问问题,"Over the last three months, approximately how often have you done each of the following on Stack Overflow? Asked a new question",2017
258,StackOverflowParticipate,参加SO活动频率,"How frequently would you say you participate in Q&A on Stack Overflow? By participate we mean ask, answer, vote for, or comment on questions.",2018
255,StackOverflowRecommend,推荐SO的意愿,How likely is it that you would recommend Stack Overflow overall to a friend or colleague? Where 0 is not likely at all and 10 is very likely.,2018
127,StackOverflowSatisfaction,满意度,Stack Overflow satisfaction,2017
256,StackOverflowVisit,访问SO的频率,How frequently would you say you visit Stack Overflow?,2018
143,StackOverflowWhatDo,没有SO将不知所措,I don't know what I'd do without Stack Overflow,2017
158,Student,当前是否为学生,"Are you currently enrolled in a formal, degree-granting college or university program?",2018
282,SurveyEasy,这个调查完成的难易程度,How easy or difficult was this survey to complete?,2018
148,SurveyLong,调查太长,This survey was too long,2017
281,SurveyTooLong,对这个调查的长度有个感想,How do you feel about the length of the survey that you just completed?,2018
81,TabsSpaces,缩进使用方式,Tabs or spaces?,2017
85,TimeAfterBootcamp,bootcamp毕业到工作用多久,You indicated previously that you went through a developer “bootcamp.” How long did it take you to get a full-time job as a developer after graduating?,2017
214,TimeAfterBootcamp,developer training毕业到工作用多久,You indicated previously that you went through a developer training program or bootcamp. How long did it take you to get a full-time job as a developer after graduating?,2018
211,TimeFullyProductive,,"Suppose a new developer with four years of experience, including direct experience working with your company's main technical stack, joined your team tomorrow.  All other things being equal, how long would you expect it to take before they were fully productive and contributing at a typical level to your main code base?",2018
161,UndergradMajor,大学研究领域,You previously indicated that you went to a college or university. Which of the following best describes your main field of study (aka 'major'),2018
38,UnderstandComputers,计算机有太多我搞不明白的,"Honestly, there's a lot about computers that I just don't understand",2017
4,University,当前是否为学生,"Are you currently enrolled in a formal, degree-granting college or university program?",2017
204,UpdateCV,更新简历的原因,"Think back to the last time you updated your resumé, CV, or an online profile on a job site. What is the main reason that you did so?",2018
99,VersionControl,版本控制使用,"What version control system do you use? If you use several, please choose the one you use most often.",2017
231,VersionControl,版本控制使用,What version control systems do you use regularly? Please select all that apply.,2018
268,WakeTime,起床时间,"On days when you work, what time do you typically wake up?",2018
93,WantWorkDatabase,理想工作距离,"Which of the following database technologies have you done extensive development work in over the past year, and which do you want to work in over the next year?",2017
91,WantWorkFramework,期待使用其他架构,"Which of the following libraries, frameworks, and tools have you done extensive development work in over the past year, and which do you want to work in over the next year?",2017
89,WantWorkLanguage,期待使用其他语言,"Which of the following languages have you done extensive development work in over the past year, and which do you want to work in over the next year?",2017
95,WantWorkPlatform,期待使用公族平台,"Which of the following platforms have you done extensive development work for over the past year, and which do you want to work on over the next year?",2017
15,WebDeveloperType,网页开发者最佳描述,Which of the following best describes you as a Web developer?,2017
41,WorkPayCare,只看重报酬,"I don't really care what I work on, so long as I'm paid well",2017
87,WorkStart,选择每天开始上班的时间,Suppose you could choose your own working hours for an 8-hour day. What time would you start work for the day? Please adjust the slider to the hour nearest your ideal start time. The box next to the slider will display your selection using a 24-hour clock,2017
12,YearsCodedJob,以编程为工作多少年了,For how many years have you coded as part of your job?,2017
13,YearsCodedJobPast,编程应用在工作中时长,For how many years did you code as part of your job?,2017
164,YearsCoding,加上上学的时间编程了多少年,"Including any education, for how many years have you been coding?",2018
165,YearsCodingProf,以编程为工作多少年了,For how many years have you coded professionally (as a part of your work)?,2018
11,YearsProgram,第一次学习编程是多久前,How long has it been since you first learned how to program?,2017
